ID,wage_rate,consump,labor_hours
1,17.56,27927.465322177817,1792
2,17.64,27664.94681213653,1818
3,15.42,24129.656021008715,1822
4,23.45,36110.45352942102,1850
5,22.08,34183.07655538445,1841
6,24.55,38780.53051740213,1805
7,18.03,28605.03840597278,1797
8,20.98,33028.62461447352,1811
9,25.07,39672.67530499193,1802
10,16.44,25684.491925593895,1825
11,31.32,49565.86394318025,1801
12,19.11,29846.71449007937,1825
13,32.49,51571.229562195185,1796
14,16.46,25687.453703319054,1826
15,15.82,24693.355799852157,1826
16,29.18,46824.74502418041,1777
17,18.68,29138.535630712504,1828
18,24.26,38297.576887899544,1806
19,23.02,36356.65547190721,1805
20,15.04,24097.042184256145,1779
21,19.4,30452.513298369828,1816
22,14.16,23267.546457042685,1733
23,17.68,27696.801960532503,1820
24,21.03,33892.06501239428,1768
25,29.72,47305.80642996874,1791
26,23.27,36782.090738146246,1803
27,20.68,33075.964236246946,1782
28,22.67,35856.98663255222,1803
29,17.33,27502.36086542859,1797
30,19.67,31538.186214674206,1778
31,20.54,32043.063297530716,1827
32,18.43,28599.256664419543,1836
33,25.22,40761.23844286715,1763
34,26.05,42177.18901411219,1760
35,15.66,25016.361756080416,1785
36,20.07,31620.58892284142,1809
37,22.12,34829.22104552737,1811
38,22.21,34968.18627378872,1811
39,22.68,35932.600867533874,1800
40,17.8,28562.61504406403,1777
41,15.24,23846.398606774932,1822
42,28.07,44622.603331086095,1794
43,16.69,25997.80210901223,1830
44,13.12,20919.964405288738,1788
45,14.02,22672.33912246264,1763
46,12.16,18893.1531637958,1835
47,16.91,27038.878308276922,1783
48,20.39,32281.85526313072,1801
49,21.58,34369.22928560192,1790
50,14.2,23248.342844152114,1740
51,18.22,29030.1878577551,1789
52,28.31,44582.08890683464,1811
53,14.22,21873.861611965523,1852
54,23.52,37755.48818062191,1776
55,18.11,28379.779348033197,1819
56,15.97,25329.13336287105,1797
57,20.56,32329.224261365736,1813
58,25.65,41332.17269593481,1769
59,35.3,56511.30685694125,1781
60,18.17,29022.41133720718,1785
61,19.83,30927.809530859413,1828
62,26.32,42238.6551111455,1776
63,28.8,44602.072155848,1840
64,17.39,27776.804108526427,1785
65,24.62,37814.99096212586,1854
66,19.08,30771.577617371277,1767
67,26.07,41634.925265443526,1785
68,14.84,22961.338374926276,1841
69,14.39,22663.54457313547,1811
70,24.86,39612.10190951106,1789
71,18.29,29889.74068067598,1743
72,22.51,36101.0711212115,1778
73,22.97,36015.300292078224,1818
74,38.43,60483.13667160279,1812
75,22.3,35959.88217805231,1768
76,13.29,21544.388568702063,1757
77,20.45,31944.434225689245,1825
78,35.32,56223.5714545483,1791
79,31.02,49570.911107874905,1784
80,14.32,23244.94936850285,1755
81,17.5,27669.825551495618,1804
82,23.61,37614.01854008222,1790
83,20.65,32862.32150556369,1792
84,15.39,24307.498606112036,1805
85,18.96,29550.60095367111,1829
86,22.18,35491.74154015961,1781
87,17.67,29471.34452286293,1704
88,22.6,36353.33075107659,1772
89,16.4,25951.426410757093,1802
90,18.15,27808.51769828983,1859
91,20.94,33946.979293075216,1758
92,19.4,30556.368236055798,1810
93,14.88,22973.541137279473,1846
94,22.12,35319.407265780625,1786
95,32.58,51597.856816215855,1800
96,28.89,45942.528435672626,1793
97,28.01,45496.88305883171,1754
98,18.47,28981.997021080646,1817
99,18.17,29142.30597797692,1778
100,23.64,37750.970301692265,1785
